#User	Dir	Cellname	Size	Nets	Transistors	Runtime	Memory	RequestedMemory
sgangund	/import/pcad-eda-emir-disk13/CLARINET_TUBA_QUALIFICATION/SIGEM/SIETE/LibraryCells/cl_u1ulvt20_mux2_24x/sigem	cl_u1ulvt20_mux2_24x	0.176	12	28	1	346.910	NA
hwkoh	/import/siete-sca-analog1/hwkoh/stcdmspp/customs/analog/st_pcm_cust_l/st_pcm_cust/sigem/sigem	st_pcm_cust	339.271	10591	48254	158	1236.234	884.0
hwkoh	/import/siete-sca-analog1/hwkoh/stcdmspp/customs/analog/st_pcm_cust_l/st_pcm_cust/sigem/sigem	st_pcm_cust	339.271	10591	48254	161	1236.355	884.0
hwkoh	/import/siete-sca-analog1/hwkoh/stcdmspp/customs/analog/st_pcm_cust_l/st_pcm_cust/sigem/sigem	st_pcm_cust	338.916	10590	48014	172	1236.125	884.0
tianywan	/import/siete-sca-clock2/tianywan/siete_loc/customs/analog/st_pcm_cust_l/st_pcm_cust/sigem/sigem	st_pcm_cust	337.879	10591	48254	96	1232.449	880.0
sgangund	/import/pcad-eda-emir-disk13/CLARINET_TUBA_QUALIFICATION/SIGEM/TAHOE/LibraryCells/cl_u1ulvt20_aoi12_4x/sigem	cl_u1ulvt20_aoi12_4x	0.046	6	9	0	346.867	NA
ssliu	/import/siete-cpu-int1/INT/sha_cdms/chips/siete/cpu/st_rpt_l/st_rptr_hm13_87x_15/sigem/sigem/sigem	st_rptr_hm13_87x_15	0.372	30	0	2	358.965	NA
sgangund	/import/pcad-eda-emir-disk13/CLARINET_TUBA_QUALIFICATION/SIGEM/TAHOE/LibraryCells/cl_u1ulvt20_aoi12_16x/sigem	cl_u1ulvt20_aoi12_16x	0.121	9	27	1	347.039	NA
jwaln	/import/siete-sca-sigem3/jwaln/int60/vsm/sigem/sigem	vsm	606.716	107674	0	2341	29528.961	30290.0
jwaln	/import/siete-sca-sigem3/jwaln/int60/vsm/sigem/sigem	vsm	630.921	110087	0	2286	30170.715	30290.0
jwaln	/import/siete-sca-sigem3/jwaln/int60/vsm/sigem/sigem	vsm	630.921	110087	0	2322	30170.574	30290.0
jwaln	/import/siete-sca-sigem8/jwaln/to10_final/vsm/sigem/sigem	vsm	645.275	114981	0	3594	30848.527	30290.0
jwaln	/import/siete-sca-sigem1/TO10/vsm/sigem/sigem	vsm	644.710	114345	0	3034	30751.375	30290.0
jwaln	/import/siete-sca-sigem1/TO10/vsm/sigem/sigem	vsm	645.351	114345	0	2787	30755.141	30290.0
jwaln	/import/siete-sca-sigem8/jwaln/to10_final/vsm/sigem/sigem_newcrc	vsm	646.293	114711	0	2689	30777.930	30290.0
jwaln	/import/siete-sca-sigem4/jwaln/TO10/vsm/sigem/sigem	vsm	639.663	113755	0	2438	30641.695	30290.0
jwaln	/import/siete-sca-sigem3/jwaln/int60/vsm/sigem/sigem	vsm	630.921	110087	0	2286	30170.465	30290.0
jwaln	/import/siete-sca-sigem6/jwaln/to10/vsm/sigem/sigem	vsm	645.164	114711	0	2702	30770.652	30290.0
jwaln	/import/siete-sca-sigem8/jwaln/to10_final/vsm/sigem/sigem	vsm	646.293	114711	0	3137	30777.938	30290.0
jwaln	/import/siete-sca-sigem1/TO10/vsm/sigem/sigem	vsm	579.813	114981	0	2458	30850.969	30290.0
jwaln	/import/siete-sca-sigem1/TO10/vsm/sigem/sigem	vsm	644.710	114345	0	3272	30751.250	30290.0
jwaln	/import/siete-sca-sigem3/jwaln/int60/vsm/sigem/sigem	vsm	606.659	107618	0	2471	29513.410	30290.0
jwaln	/import/siete-sca-sigem1/jwaln/TO10/vsm/sigem/sigem	vsm	645.515	114981	0	2913	30849.762	30290.0
jwaln	/import/siete-sca-sigem1/TO10/vsm/sigem/sigem	vsm	644.710	114345	0	2669	30750.707	30290.0
jwaln	/import/siete-sca-sigem8/jwaln/to10_final/vsm/sigem/sigem_newasf	vsm	646.293	114711	0	2700	30777.781	30290.0
jwaln	/import/siete-sca-sigem1/TO10/vsm/sigem/sigem	vsm	642.351	114023	0	2654	30712.316	30290.0
jwaln	/import/siete-sca-sigem1/int60/vsm/sigem/sigem	vsm	630.921	110087	0	2136	29343.828	30290.0
jwaln	/import/siete-sca-sigem1/TO10/vsm/sigem/sigem	vsm	645.275	114981	0	2950	30848.488	30290.0
sudesdas	/import/siete-vsm-comp4/sudesdas/st_cdmspp/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	266.809	45319	0	1144	14561.871	13929.0
shuazhou	/import/siete-sca-sigem5/zhou/testcases/vsm.spice/sigem/sigem	vsm	639.663	113755	0	1435	31154.828	NA
shuazhou	/import/siete-sca-sigem5/zhou/testcases/vsm.spice/sigem/sigem	vsm	639.663	113755	0	1422	31154.805	NA
shuazhou	/import/siete-sca-sigem5/zhou/testcases/vsm.spice/sigem/sigem	vsm	639.663	113755	0	1431	31154.750	NA
shuazhou	/import/siete-aus-sigem-nobackup1/zhou/TO_1_0/vsm/sigem/sigem	vsm	645.351	114345	0	5688	30755.730	NA
shuazhou	/import/siete-sca-sigem5/zhou/testcases/vsm/sigem/sigem	vsm	639.663	113755	0	2505	31417.090	NA
shuazhou	/import/siete-aus-sigem-nobackup1/zhou/int60/vsm/sigem/sigem	vsm	630.921	110087	0	2480	30170.543	NA
shuazhou	/import/siete-sca-sigem5/zhou/testcases/vsm.spice/sigem/sigem	vsm	639.663	113755	0	1425	30233.289	NA
shuazhou	/import/siete-sca-sigem5/zhou/testcases/vsm.spice/sigem/sigem	vsm	639.663	113755	0	1453	30430.680	NA
shuazhou	/import/siete-sca-sigem5/zhou/testcases/vsm/sigem/sigem	vsm	639.663	113755	0	2429	30443.145	NA
bboppana	/import/siete-vsm-comp6/bboppana/cdmspp/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	642.288	114023	0	2546	30714.035	30221.0
sriniram	/import/siete-vsm-comp6/srini/ST_TO_1_0_pass4/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	644.710	114345	0	2608	30752.449	30194.0
sriniram	/import/siete-vsm-comp6/srini/ST_TO_1_0_pass4/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	645.347	114345	0	2980	30755.996	30194.0
sriniram	/import/siete-vsm-comp6/srini/ST_TO_1_0_pass4/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	644.970	114345	0	2880	30753.875	30194.0
sriniram	/import/siete-vsm-comp6/srini/ST_TO_1_0/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	642.351	114023	0	2699	30712.609	30194.0
sriniram	/import/siete-vsm-comp6/srini/ST_TO_1_0_pass3/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	644.789	114345	0	2605	30751.590	30194.0
sriniram	/import/siete-vsm-comp6/srini/ST_TO_1_0_pass4/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	644.710	114345	0	2619	30752.250	30194.0
sriniram	/import/siete-vsm-comp6/srini/ST_TO_1_0_pass4/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	644.710	114345	0	2615	30752.316	30194.0
sriniram	/import/siete-vsm-comp6/srini/ST_TO_1_0_pass4/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	645.346	114345	0	2634	30755.918	30194.0
sriniram	/import/siete-vsm-comp6/srini/ST_TO_1_0_pass4/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	645.344	114345	0	2829	30755.875	30194.0
sriniram	/import/siete-vsm-comp6/srini/ST_TO_1_0_pass3/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	644.657	114188	0	3168	30727.398	30194.0
mesu	/import/siete-vsm-comp3/mesu/st_cdmspp/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	318.568	49647	0	955	16299.891	15644.0
